record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Io        09:20 12 57 33.99 -04 48 33.0 2000.0 dra=0.0289 ddec=-0.42 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        09:30 12 57 34.00 -04 48 33.1 2000.0 dra=0.0348 ddec=-0.47 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        09:40 12 57 34.00 -04 48 33.2 2000.0 dra=0.0413 ddec=-0.53 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        09:50 12 57 34.01 -04 48 33.3 2000.0 dra=0.0483 ddec=-0.59 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        10:00 12 57 34.02 -04 48 33.4 2000.0 dra=0.0559 ddec=-0.65 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        10:10 12 57 34.03 -04 48 33.5 2000.0 dra=0.0640 ddec=-0.71 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        10:20 12 57 34.04 -04 48 33.6 2000.0 dra=0.0727 ddec=-0.78 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        10:30 12 57 34.06 -04 48 33.8 2000.0 dra=0.0819 ddec=-0.86 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        10:40 12 57 34.07 -04 48 33.9 2000.0 dra=0.0916 ddec=-0.93 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        10:50 12 57 34.09 -04 48 34.1 2000.0 dra=0.1019 ddec=-1.01 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        11:00 12 57 34.10 -04 48 34.2 2000.0 dra=0.1127 ddec=-1.10 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        11:10 12 57 34.12 -04 48 34.4 2000.0 dra=0.1240 ddec=-1.18 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        11:20 12 57 34.15 -04 48 34.6 2000.0 dra=0.1357 ddec=-1.27 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        11:30 12 57 34.17 -04 48 34.9 2000.0 dra=0.1480 ddec=-1.37 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        11:40 12 57 34.20 -04 48 35.1 2000.0 dra=0.1607 ddec=-1.46 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        11:50 12 57 34.22 -04 48 35.4 2000.0 dra=0.1740 ddec=-1.56 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        12:00 12 57 34.25 -04 48 35.6 2000.0 dra=0.1876 ddec=-1.67 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        12:10 12 57 34.29 -04 48 35.9 2000.0 dra=0.2018 ddec=-1.77 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        12:20 12 57 34.32 -04 48 36.2 2000.0 dra=0.2163 ddec=-1.88 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        12:30 12 57 34.36 -04 48 36.5 2000.0 dra=0.2313 ddec=-1.99 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        12:40 12 57 34.40 -04 48 36.9 2000.0 dra=0.2467 ddec=-2.11 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        12:50 12 57 34.44 -04 48 37.2 2000.0 dra=0.2625 ddec=-2.23 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        13:00 12 57 34.49 -04 48 37.6 2000.0 dra=0.2787 ddec=-2.35 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        13:10 12 57 34.53 -04 48 38.0 2000.0 dra=0.2953 ddec=-2.47 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        13:20 12 57 34.58 -04 48 38.5 2000.0 dra=0.3123 ddec=-2.59 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        13:30 12 57 34.64 -04 48 38.9 2000.0 dra=0.3297 ddec=-2.72 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        13:40 12 57 34.69 -04 48 39.4 2000.0 dra=0.3474 ddec=-2.85 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        13:50 12 57 34.75 -04 48 39.9 2000.0 dra=0.3654 ddec=-2.98 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        14:00 12 57 34.82 -04 48 40.4 2000.0 dra=0.3837 ddec=-3.12 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
Io        14:10 12 57 34.88 -04 48 40.9 2000.0 dra=0.4024 ddec=-3.26 rotmode=pa rotdest=0 vmag=5.94 rmag=5.94
