record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Titan     15:10 17 24 57.91 -21 55 07.5 2000.0 dra=-0.620 ddec=1.363 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     15:20 17 24 57.80 -21 55 07.2 2000.0 dra=-0.619 ddec=1.363 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     15:30 17 24 57.69 -21 55 07.0 2000.0 dra=-0.618 ddec=1.363 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     15:40 17 24 57.58 -21 55 06.8 2000.0 dra=-0.616 ddec=1.362 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     15:50 17 24 57.47 -21 55 06.6 2000.0 dra=-0.615 ddec=1.362 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     16:00 17 24 57.36 -21 55 06.3 2000.0 dra=-0.614 ddec=1.361 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     16:10 17 24 57.25 -21 55 06.1 2000.0 dra=-0.613 ddec=1.360 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     16:20 17 24 57.14 -21 55 05.9 2000.0 dra=-0.612 ddec=1.359 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     16:30 17 24 57.03 -21 55 05.6 2000.0 dra=-0.611 ddec=1.358 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     16:40 17 24 56.92 -21 55 05.4 2000.0 dra=-0.610 ddec=1.356 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     16:50 17 24 56.81 -21 55 05.2 2000.0 dra=-0.609 ddec=1.355 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     17:00 17 24 56.70 -21 55 04.9 2000.0 dra=-0.608 ddec=1.353 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     17:10 17 24 56.59 -21 55 04.7 2000.0 dra=-0.607 ddec=1.352 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     17:20 17 24 56.48 -21 55 04.5 2000.0 dra=-0.606 ddec=1.350 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     17:30 17 24 56.37 -21 55 04.3 2000.0 dra=-0.605 ddec=1.348 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     17:40 17 24 56.27 -21 55 04.0 2000.0 dra=-0.604 ddec=1.346 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     17:50 17 24 56.16 -21 55 03.8 2000.0 dra=-0.603 ddec=1.344 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     18:00 17 24 56.05 -21 55 03.6 2000.0 dra=-0.602 ddec=1.342 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     18:10 17 24 55.94 -21 55 03.4 2000.0 dra=-0.601 ddec=1.339 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     18:20 17 24 55.83 -21 55 03.1 2000.0 dra=-0.600 ddec=1.337 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     18:30 17 24 55.72 -21 55 02.9 2000.0 dra=-0.600 ddec=1.334 rotmode=pa rotdest=0 vmag=8.63 rmag=8.63
Titan     18:40 17 24 55.62 -21 55 02.7 2000.0 dra=-0.599 ddec=1.332 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     18:50 17 24 55.51 -21 55 02.5 2000.0 dra=-0.598 ddec=1.329 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     19:00 17 24 55.40 -21 55 02.2 2000.0 dra=-0.597 ddec=1.327 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     19:10 17 24 55.29 -21 55 02.0 2000.0 dra=-0.597 ddec=1.324 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     19:20 17 24 55.19 -21 55 01.8 2000.0 dra=-0.596 ddec=1.321 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     19:30 17 24 55.08 -21 55 01.6 2000.0 dra=-0.596 ddec=1.318 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     19:40 17 24 54.97 -21 55 01.3 2000.0 dra=-0.595 ddec=1.316 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
Titan     19:50 17 24 54.87 -21 55 01.1 2000.0 dra=-0.594 ddec=1.313 rotmode=pa rotdest=0 vmag=8.64 rmag=8.64
