record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
Uranus    11:00 01 45 33.17 +10 17 10.6 2000.0 dra=0.1190 ddec=0.643 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    11:10 01 45 33.19 +10 17 10.7 2000.0 dra=0.1187 ddec=0.642 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    11:20 01 45 33.21 +10 17 10.8 2000.0 dra=0.1183 ddec=0.642 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    11:30 01 45 33.23 +10 17 10.9 2000.0 dra=0.1180 ddec=0.641 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    11:40 01 45 33.25 +10 17 11.0 2000.0 dra=0.1176 ddec=0.641 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    11:50 01 45 33.27 +10 17 11.1 2000.0 dra=0.1172 ddec=0.640 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    12:00 01 45 33.29 +10 17 11.2 2000.0 dra=0.1169 ddec=0.639 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    12:10 01 45 33.31 +10 17 11.3 2000.0 dra=0.1166 ddec=0.639 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    12:20 01 45 33.33 +10 17 11.5 2000.0 dra=0.1162 ddec=0.638 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    12:30 01 45 33.35 +10 17 11.6 2000.0 dra=0.1159 ddec=0.637 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    12:40 01 45 33.37 +10 17 11.7 2000.0 dra=0.1156 ddec=0.637 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    12:50 01 45 33.39 +10 17 11.8 2000.0 dra=0.1153 ddec=0.636 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    13:00 01 45 33.41 +10 17 11.9 2000.0 dra=0.1150 ddec=0.635 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    13:10 01 45 33.43 +10 17 12.0 2000.0 dra=0.1147 ddec=0.634 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    13:20 01 45 33.45 +10 17 12.1 2000.0 dra=0.1144 ddec=0.633 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    13:30 01 45 33.47 +10 17 12.2 2000.0 dra=0.1141 ddec=0.632 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    13:40 01 45 33.49 +10 17 12.3 2000.0 dra=0.1139 ddec=0.631 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    13:50 01 45 33.51 +10 17 12.4 2000.0 dra=0.1136 ddec=0.630 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    14:00 01 45 33.53 +10 17 12.5 2000.0 dra=0.1134 ddec=0.629 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    14:10 01 45 33.55 +10 17 12.6 2000.0 dra=0.1131 ddec=0.628 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    14:20 01 45 33.57 +10 17 12.7 2000.0 dra=0.1129 ddec=0.627 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    14:30 01 45 33.58 +10 17 12.8 2000.0 dra=0.1127 ddec=0.626 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    14:40 01 45 33.60 +10 17 12.9 2000.0 dra=0.1125 ddec=0.625 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    14:50 01 45 33.62 +10 17 13.0 2000.0 dra=0.1123 ddec=0.624 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    15:00 01 45 33.64 +10 17 13.1 2000.0 dra=0.1122 ddec=0.623 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
Uranus    15:10 01 45 33.66 +10 17 13.2 2000.0 dra=0.1120 ddec=0.622 rotmode=pa rotdest=0 vmag=5.81 rmag=5.81
