record divider  00 00 00.00 +00 00 00.0 2000.0 #####################
501       20:50 12 58 31.51 -04 55 16.3 2000.0 dra=1.8575 ddec=-12.9 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       21:00 12 58 31.82 -04 55 18.4 2000.0 dra=1.8661 ddec=-13.0 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       21:10 12 58 32.14 -04 55 20.6 2000.0 dra=1.8742 ddec=-13.0 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       21:20 12 58 32.45 -04 55 22.8 2000.0 dra=1.8818 ddec=-13.1 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       21:30 12 58 32.77 -04 55 25.0 2000.0 dra=1.8888 ddec=-13.1 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       21:40 12 58 33.08 -04 55 27.2 2000.0 dra=1.8954 ddec=-13.2 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       21:50 12 58 33.40 -04 55 29.4 2000.0 dra=1.9014 ddec=-13.2 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       22:00 12 58 33.72 -04 55 31.6 2000.0 dra=1.9068 ddec=-13.2 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       22:10 12 58 34.04 -04 55 33.8 2000.0 dra=1.9118 ddec=-13.2 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       22:20 12 58 34.36 -04 55 36.0 2000.0 dra=1.9162 ddec=-13.3 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       22:30 12 58 34.68 -04 55 38.3 2000.0 dra=1.9201 ddec=-13.3 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       22:40 12 58 35.00 -04 55 40.5 2000.0 dra=1.9235 ddec=-13.3 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       22:50 12 58 35.32 -04 55 42.7 2000.0 dra=1.9263 ddec=-13.3 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
501       23:00 12 58 35.64 -04 55 44.9 2000.0 dra=1.9286 ddec=-13.3 rotmode=pa rotdest=0 vmag=5.96 rmag=5.96
HD106965        12 17 57.54 +01 34 31.1 2000.0 rotmode=pa rotdest=0 vmag=7.54 rmag=7.54 hmag=7.338 jmag=7.318 kmag=7.294 lmag=7.311 mmag=7.32 sptype=A0/1V
HD105601        12 09 27.79 +38 37 54.6 2000.0 rotmode=pa rotdest=0 vmag=7.39 rmag=7.13 hmag=6.713 jmag=6.776 kmag=6.665 lmag=6.669 mmag=6.7 sptype=Am
HD77281         09 01 38.00 -01 28 34.7 2000.0 rotmode=pa rotdest=0 vmag=7.35 rmag=7.35 hmag=7.029 jmag=7.037 kmag=7.017 lmag=7.041 mmag=7.02 sptype=A3IV
