 Dist(deg)   ID           RA(J2000)    DEC(J2000)    Y       J       H       K       L       M    catalog
  122.3    P133-C        13:58:40.20  +52:06:24.0   0.000  11.149  10.878  10.831   0.000   0.000    P                      
  127.3    S372-S        09:15:50.50  -36:32:34.0   0.000  11.153  10.891  10.830   0.000   0.000    P                      
   58.2    FS-112        03:47:40.70  -15:13:14.4   0.000  11.182  10.919  10.855   0.000   0.000    U                      
  120.6    S273-E        14:56:51.90  -44:49:14.0   0.000  11.341  10.924  10.851   0.000   0.000    P                      
   38.8    P530-D        02:33:32.10  +06:25:38.0   0.000  11.267  10.936  10.878   0.000   0.000    U                      
   44.3    FS-7          02:57:21.21  +00:18:38.2   0.000  11.076  10.961  10.933   0.000   0.000    U                      
   38.8    P530-D        02:33:32.10  +06:25:38.0   0.000  11.309  10.975  10.897   0.000   0.000    P                      
   68.5    FS-115        04:23:18.17  +26:41:16.4   0.000  12.501  10.976  10.073   0.000   0.000    U                      
   51.0    FS-109        03:13:24.16  +18:49:38.4   0.000  11.435  10.983  10.813  10.500   0.000    U                      
  134.9    T868-53850    15:00:26.40  -00:39:29.0   0.000  11.517  10.988  10.617   0.000   0.000    U                      
   94.7    S008-D        14:23:45.50  -84:09:58.0   0.000  11.232  10.990  10.904   0.000   0.000    P                      
  129.9    S217-D        12:01:45.20  -50:03:10.0   0.000  11.323  11.002  10.931   0.000   0.000    P                      
  145.4    S852-C        09:41:35.80  +00:33:12.0   0.000  11.288  11.004  10.960   0.000   0.000    U                      
   14.9    FS-153        23:02:32.07  -03:58:53.1   0.000  11.603  11.029  10.890   0.000   0.000    U                      
   75.8    S361-D        04:49:54.60  -35:11:17.0   0.000  11.246  11.031  10.992   0.000   0.000    P                      
  122.8    S495-E        08:27:12.50  -25:08:01.0   0.000  11.483  11.031  10.939   0.000   0.000    U                      
  145.4    S852-C        09:41:35.80  +00:33:12.0   0.000  11.354  11.041  10.981   0.000   0.000    P                      
  122.8    S495-E        08:27:12.50  -25:08:01.0   0.000  11.521  11.048  10.965   0.000   0.000    P                      
   21.1    FS-105        01:19:08.19  +07:34:11.5   0.000  11.526  11.070  10.961   0.000   0.000    U                      
    6.4    BRI0021       00:24:24.60  -01:58:22.0   0.000  11.754  11.082  10.500   0.000   0.000    U                      
  125.5    S262-E        09:45:42.80  -45:49:40.0   0.000  11.409  11.085   0.000   0.000   0.000    P                      
  133.0    FS-124        08:54:12.60  -08:05:03.0   0.000  11.467  11.085  10.727   0.000   0.000    U                      
   30.5    BRI2202       22:05:36.00  -11:04:27.0   0.000  11.595  11.085  10.708   0.000   0.000    U                      
   10.5    FS-154        23:18:10.08  +00:32:55.6   0.000  11.373  11.098  11.050   0.000   0.000    U                      
   85.6    S840-F        05:42:32.10  +00:09:04.0   0.000  11.365  11.099  11.019   0.000   0.000    U                      
   49.9    S813-D        20:41:05.10  -05:03:43.0   0.000  11.434  11.118  11.053   0.000   0.000    U                      
   96.7    P138-C        17:13:44.50  +54:33:21.0   0.000  11.355  11.118  11.075   0.000   0.000    P                      
   10.5    S893-D        23:18:10.00  +00:32:56.0   0.000  11.403  11.120  11.045   0.000   0.000    P                      
   96.7    p138-c        17:13:44.60  +54:33:21.0   0.000  11.327  11.124  11.098   0.000   0.000    U                      
   29.8    FS-152        22:27:16.12  +19:16:59.2   0.000  11.648  11.130  11.048   0.000   0.000    U                      
   49.9    S813-D        20:41:05.10  -05:03:43.0   0.000  11.479  11.142  11.082   0.000   0.000    P                      
   85.6    S840-F        05:42:32.10  +00:09:04.0   0.000  11.426  11.148  11.077   0.000   0.000    P                      
  163.7    FS-129        11:21:48.95  -13:13:07.9   0.000  11.792  11.173  10.639  10.030   0.000    U                      
   46.0    T832-38078    03:04:02.00  +00:45:52.0   0.000  11.755  11.221  10.844   0.000   0.000    U                      
  131.8    FS-134        14:28:43.37  +33:10:41.5   0.000  11.885  11.251  10.721  10.100   0.000    U                      
   73.2    FS-11         04:52:58.92  -00:14:41.6   0.000  11.329  11.264  11.241   0.000   0.000    U                      
  124.6    P272-D        14:58:33.10  +37:08:33.0   0.000  11.601  11.267  11.212   0.000   0.000    U                      
    9.9    FS-102        00:24:28.50  +07:49:00.1   0.000  11.583  11.273  11.200   0.000   0.000    U                      
  124.6    P272-D        14:58:33.10  +37:08:33.0   0.000  11.640  11.277  11.210   0.000   0.000    P                      
  159.9    S791-C        13:17:29.60  -05:32:37.0   0.000  11.605  11.283  11.227   0.000   0.000    U                      
    9.9    P525-E        00:24:28.30  +07:49:02.0   0.000  11.622  11.298  11.223   0.000   0.000    P                      
  159.9    S791-C        13:17:29.60  -05:32:37.0   0.000  11.661  11.310  11.250   0.000   0.000    P                      
   81.3    S055-D        04:18:18.90  -69:27:35.0   0.000  11.552  11.326  11.255   0.000   0.000    P                      
   95.7    S842-E        06:22:43.70  -00:36:30.0   0.000  11.660  11.327  11.233   0.000   0.000    U                      
   38.9    P290-D        23:30:33.40  +38:18:57.0   0.000  11.617  11.331  11.255   0.000   0.000    U                      
  132.6    S264-D        10:47:24.10  -44:34:05.0   0.000  11.642  11.335  11.263   0.000   0.000    P                      
   38.9    P290-D        23:30:33.40  +38:18:57.0   0.000  11.634  11.337  11.257   0.000   0.000    P                      
  115.1    P091-D        09:42:58.70  +59:03:43.0   0.000  11.683  11.338  11.276   0.000   0.000    P                      
   95.7    S842-E        06:22:43.70  -00:36:30.0   0.000  11.723  11.357  11.264   0.000   0.000    P                      
  144.2    FS-131        12:14:25.40  +35:35:55.6   0.000  11.617  11.362  11.324   0.000   0.000    U                      
  144.2    P266-C        12:14:25.40  +35:35:55.0   0.000  11.642  11.378  11.324   0.000   0.000    P                      
  100.0    FS-122        07:00:52.02  +48:29:24.0   0.000  11.668  11.393  11.347   0.000   0.000    U                      
   55.5    FS-110        03:41:02.22  +06:56:15.9   0.000  11.703  11.406  11.321   0.000   0.000    U                      
  100.0    P161-D        07:00:52.00  +48:29:24.0   0.000  11.680  11.408  11.356   0.000   0.000    P                      
   55.6    P533-D        03:41:02.40  +06:56:13.0   0.000  11.737  11.431  11.337   0.000   0.000    P                      
   97.5    S255-S        06:42:36.50  -45:09:12.0   0.000  11.719  11.434   0.000   0.000   0.000    P                      
  104.9    FS-121        06:59:46.82  -04:54:33.2   0.000  11.984  11.436  11.307   0.000   0.000    U                      
  111.1    RU149D        07:24:15.36  -00:32:47.9   0.000  11.444  11.438  11.459   0.000   0.000    U                      
  109.0    P330-E        16:31:33.60  +30:08:48.0   0.000  11.772  11.455  11.419   0.000   0.000    U                      
  109.0    P330-E        16:31:33.60  +30:08:48.0   0.000  11.816  11.479  11.419   0.000   0.000    P                      
  128.1    LHS2026       08:32:30.50  -01:34:37.0   0.000  11.990  11.482  11.075   0.000   0.000    U                      
  109.5    P309-U        07:30:34.50  +29:51:12.0   0.000  11.841  11.507  11.449   0.000   0.000    U                      
  109.5    P309-U        07:30:34.50  +29:51:12.0   0.000  11.876  11.522   0.000   0.000   0.000    P                      
   68.7    FS-116        04:23:50.18  +26:40:07.7   0.000  12.775  11.532  10.928   0.000   0.000    U                      
   17.8    S667-D        23:23:34.40  -15:21:07.0   0.000  11.811  11.559  11.537   0.000   0.000    U                      
  146.0    P499-E        14:07:33.90  +12:23:51.0   0.000  11.893  11.560  11.528   0.000   0.000    U                      
  127.1    P545-C        08:29:25.10  +05:56:08.0   0.000  11.841  11.585  11.549   0.000   0.000    U                      
   17.8    S677-D        23:23:34.40  -15:21:07.0   0.000  11.857  11.596  11.538   0.000   0.000    P                      
  146.0    P499-E        14:07:33.90  +12:23:51.0   0.000  11.947  11.605  11.560   0.000   0.000    P                      
   61.4    P247-U        03:32:03.00  +37:20:40.0   0.000  11.907  11.606  11.508   0.000   0.000    U                      
   61.4    P247-U        03:32:03.00  +37:20:40.0   0.000  11.934  11.610  11.492   0.000   0.000    P                      
  127.1    P545-C        08:29:25.10  +05:56:08.0   0.000  11.881  11.624  11.575   0.000   0.000    P                      
   29.5    S889-E        22:02:05.70  -01:06:02.0   0.000  12.021  11.662  11.586   0.000   0.000    P                      
  139.8    FS-135        14:40:58.04  -00:27:46.6   0.000  11.965  11.669  11.604   0.000   0.000    U                      
  117.4    S312-T        08:25:36.10  -39:05:59.0   0.000  11.949  11.669  11.608   0.000   0.000    P                      
  139.8    S867-V        14:40:58.00  -00:27:47.0   0.000  12.045  11.701  11.622   0.000   0.000    P                      
  115.5    P064-D        12:13:12.00  +64:28:56.0   0.000  11.958  11.711  11.664   0.000   0.000    P                      
  131.6    FS-127        10:06:29.03  +41:01:26.6   0.000  11.969  11.727  11.685   0.000   0.000    U                      
  131.6    P212-C        10:06:29.00  +41:01:26.0   0.000  11.993  11.729  11.686   0.000   0.000    P                      
   83.5    P182-E        18:39:33.70  +49:05:38.0   0.000  12.104  11.764  11.688   0.000   0.000    P                      
  138.6    FS-126        09:19:18.73  +10:55:54.2   0.000  12.304  11.772  11.636   0.000   0.000    U                      
   83.5    P182-E        18:39:33.70  +49:05:38.0   0.000  12.081  11.779  11.713   0.000   0.000    U                      
  110.9    S064-F        12:03:30.20  -69:04:56.0   0.000  12.111  11.803  11.722   0.000   0.000    P                      
   83.2    FS-35         18:27:13.52  +04:03:09.4   0.000  12.188  11.835  11.741   0.000   0.000    U                      
   93.7    S121-E        06:29:29.40  -59:39:31.0   0.000  12.114  11.838  11.765   0.000   0.000    P                      
   38.6    FS-103        00:36:29.60  +37:42:54.3   0.000  12.342  11.840  11.724   0.000   0.000    U                      
   61.6    S301-D        03:26:53.90  -39:50:38.0   0.000  12.153  11.842  11.772   0.000   0.000    P                      
   85.2    S363-D        05:36:44.80  -34:46:39.0   0.000  12.069  11.874  11.826   0.000   0.000    P                      
  132.4    T868-110639   15:10:17.00  -02:41:05.0   0.000  12.530  11.875  11.306   0.000   0.000    U                      
   54.1    FS-106        01:49:46.94  +48:37:53.2   0.000  12.466  11.877  11.752   0.000   0.000    U                      
  174.6    FS-132        12:21:39.36  -00:07:13.3   0.000  12.159  11.879  11.835   0.000   0.000    U                      
  113.2    FS-137        16:26:42.72  +05:52:20.3   0.000  12.140  11.893  11.838   0.000   0.000    U                      
